[Analysis Information]

Results File : C:\Users\aordy\OneDrive\Documents\Projects\ARTS\2_studies\1_size_vs_shape\2_explorative\2_3_data_shape\pca_202102\3_glob\30specimens_clean_g.pcr
Analyzed NEF File : C:\Users\aordy\OneDrive\Documents\Projects\ARTS\2_studies\1_size_vs_shape\2_explorative\2_3_data_shape\nef\30specimens_clean.nef
Title of NEF File Data : 
Analyzed Date : Wed Feb 17 09:41:06 2021
Method of Analysis : Covariance
Number of Data : 511
Number of Harmonics : 20
Number of Analyzed Harmonics : 20
Constant Coefficient(s) : a1 b1 c1 
Number of Principal Components : 77
( = Number of Analyzed Coefficients (NAC) )
Number of Effective Principal Components : 2
( = Number of Principal Components whose proportion is larger than 1 / NAC )
Analyzed Coefficients : d1 a2 b2 c2 d2 a3 b3 c3 d3 a4 b4 c4 d4 a5 b5 c5 d5 a6 b6 c6 d6 a7 b7 c7 d7 a8 b8 c8 d8 a9 b9 c9 d9 a10 b10 c10 d10 a11 b11 c11 d11 a12 b12 c12 d12 a13 b13 c13 d13 a14 b14 c14 d14 a15 b15 c15 d15 a16 b16 c16 d16 a17 b17 c17 d17 a18 b18 c18 d18 a19 b19 c19 d19 a20 b20 c20 d20 

[Mean of Coefficients]

		a             	b             	c             	d             
	1	 1,000000E+000	 1,263782E-016	-3,734673E-018	 3,070602E-001
	2	 1,361297E-003	 2,090991E-003	 1,338582E-002	-5,854763E-005
	3	 9,395016E-002	-4,459446E-004	-6,263755E-003	 5,042371E-002
	4	 7,781366E-004	 2,946631E-003	-1,177751E-004	-1,454233E-003
	5	 2,797201E-002	-9,373943E-004	-2,115309E-003	 1,534613E-002
	6	 5,130133E-004	 1,891419E-003	-1,176200E-004	-1,021778E-003
	7	 1,178264E-002	-9,072109E-004	-7,470000E-004	 7,492260E-003
	8	 5,051001E-004	 8,787184E-004	-1,939514E-004	-3,747822E-004
	9	 6,130221E-003	-6,319138E-004	-2,283558E-004	 4,323160E-003
	10	 3,905229E-004	 4,380972E-004	-4,236218E-004	-1,064038E-004
	11	 3,585807E-003	-4,282116E-004	 3,508138E-006	 2,723634E-003
	12	 3,110428E-004	 2,707489E-004	-9,514546E-005	 5,387947E-006
	13	 2,221389E-003	-3,265225E-004	 8,800142E-005	 1,718254E-003
	14	 2,599638E-004	 1,741102E-004	-1,006930E-004	 1,357565E-004
	15	 1,452131E-003	-2,448715E-004	 1,619814E-004	 1,031626E-003
	16	 2,221451E-004	 1,143934E-004	-1,121738E-006	-6,555344E-006
